City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,52.81,76,1,13.71,clear sky
1,Labuhan,ID,-6.8844,112.2051,73.27,78,59,7.72,broken clouds
2,Fortuna,US,40.5982,-124.1573,58.98,77,9,6.24,clear sky
3,Punaauia,PF,-17.6333,-149.6,78.44,78,40,8.05,scattered clouds
4,Carmen,MX,18.6333,-91.8333,84.56,67,73,7.61,broken clouds
5,Namatanai,PG,-3.6667,152.4333,78.67,85,24,6.71,few clouds
6,Waraseoni,IN,21.75,80.0333,75.31,95,100,3.24,overcast clouds
7,Port Alfred,ZA,-33.5906,26.891,58.93,58,70,9.57,broken clouds
8,Port Elizabeth,ZA,-33.918,25.5701,55.09,98,32,4.65,scattered clouds
9,Albany,US,42.6001,-73.9662,96.58,38,54,1.99,broken clouds
10,Okakarara,NA,-20.5833,17.4333,66.65,28,26,8.79,scattered clouds
11,Yellowknife,CA,62.456,-114.3525,61.32,82,100,8.05,overcast clouds
12,Sharan,RU,54.8167,54.0,67.59,71,33,3.27,scattered clouds
13,Rikitea,PF,-23.1203,-134.9692,74.89,79,80,14.27,broken clouds
14,Bellevue,US,47.6104,-122.2007,77.95,63,0,8.05,clear sky
15,Cape Town,ZA,-33.9258,18.4232,60.39,69,0,9.22,clear sky
16,Upernavik,GL,72.7868,-56.1549,42.3,94,94,5.5,overcast clouds
17,Aykhal,RU,66.0,111.5,63.73,85,83,7.45,broken clouds
18,Punta Arenas,CL,-53.15,-70.9167,41.02,65,20,18.41,few clouds
19,Bida,NG,9.0833,6.0167,80.1,73,93,2.62,overcast clouds
20,Atuona,PF,-9.8,-139.0333,76.71,68,68,17.9,broken clouds
21,Ushuaia,AR,-54.8,-68.3,33.82,83,100,4.74,overcast clouds
22,Gilgit,PK,35.9221,74.3087,84.65,58,100,4.47,overcast clouds
23,Khatanga,RU,71.9667,102.5,66.81,59,93,14.83,overcast clouds
24,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,98.42,18,22,14.79,few clouds
25,Kapaa,US,22.0752,-159.319,80.58,76,40,13.8,scattered clouds
26,Lompoc,US,34.6391,-120.4579,57.92,82,100,6.91,overcast clouds
27,Barrow,US,71.2906,-156.7887,39.22,87,100,0.0,mist
28,Bandarbeyla,SO,9.4942,50.8122,76.66,81,100,31.88,overcast clouds
29,Ipixuna,BR,-1.7625,-48.8043,93.13,41,77,2.84,broken clouds
30,Bluff,NZ,-46.6,168.3333,33.8,87,27,4.72,scattered clouds
31,Sawakin,SD,19.1059,37.3321,94.6,50,27,10.69,scattered clouds
32,Cabo San Lucas,MX,22.8909,-109.9124,91.62,76,57,1.99,broken clouds
33,Altamont,US,42.2068,-121.7372,82.78,37,0,5.99,clear sky
34,Saint-Philippe,RE,-21.3585,55.7679,69.22,81,60,11.48,light rain
35,Tateyama,JP,34.9833,139.8667,79.11,89,100,11.18,overcast clouds
36,Busselton,AU,-33.65,115.3333,57.02,74,89,13.38,overcast clouds
37,Clyde River,CA,70.4692,-68.5914,43.03,100,100,18.41,light rain
38,Castro,BR,-24.7911,-50.0119,75.83,39,93,3.71,overcast clouds
39,Butaritari,KI,3.0707,172.7902,82.26,74,22,20.69,light rain
40,New Norfolk,AU,-42.7826,147.0587,44.91,89,72,2.82,broken clouds
41,Imeni Poliny Osipenko,RU,52.4201,136.4853,60.08,94,5,3.83,clear sky
42,Bilma,NE,18.6853,12.9164,101.23,12,7,10.42,clear sky
43,Port Augusta,AU,-32.5,137.7667,54.93,89,95,8.95,light rain
44,Mumford,GH,5.2618,-0.759,74.79,83,56,9.04,broken clouds
45,Carnarvon,AU,-24.8667,113.6333,59.49,47,0,16.67,clear sky
46,Santa Fe,AR,-31.6333,-60.7,84.02,54,49,4.0,light rain
47,Seymchan,RU,62.8833,152.4333,50.34,83,7,3.44,clear sky
